sbd,yy,toan,van,khxh,khtn,ls,dl,gdcd,sh,vl,hh,ta
2000001,2002,6.6,6.25,6.67,-1,5.75,7,7.25,-1,-1,-1,5.2
2000002,2002,8.2,7.75,7.58,-1,7,7.25,8.5,-1,-1,-1,7
2000003,2001,6.8,6.75,6.92,-1,4.75,7.75,8.25,-1,-1,-1,6
2000004,2002,7.8,6.25,-1,6.25,-1,-1,-1,7,5.5,6.25,5.6
2000005,2002,6.4,6.5,-1,6.17,-1,-1,-1,5.5,6.75,6.25,8.2
2000006,2002,6.8,7.5,7.58,-1,6.75,7.5,8.5,-1,-1,-1,-1
2000007,2002,8.4,8.25,-1,6.67,-1,-1,-1,5.25,7.5,7.25,6.4
2000008,2002,6.8,7,-1,4.33,-1,-1,-1,3.5,5,4.5,4.4
2000009,2002,7.2,8,7.92,-1,6.75,8.25,8.75,-1,-1,-1,8.4
2000010,2002,8.4,7.75,-1,6.33,-1,-1,-1,4,8,7,6.4
2000011,2002,6.4,7.75,7.08,-1,6.25,6.5,8.5,-1,-1,-1,5.2
2000012,2002,8,5.25,8.17,-1,7.25,8,9.25,-1,-1,-1,8.2
2000013,2002,8.4,5.75,-1,7.08,-1,-1,-1,5.75,7.75,7.75,5.8
2000014,2002,8.4,7.5,7.67,-1,8,7.25,7.75,-1,-1,-1,9.2
2000015,2002,8.2,6.75,-1,6.08,-1,-1,-1,5.25,6.25,6.75,8.6
2000016,2002,8.6,6.75,-1,6.17,-1,-1,-1,5.5,6.25,6.75,7.2
2000017,2002,8.6,6.75,-1,7.42,-1,-1,-1,7.75,7.25,7.25,8.8
2000018,2002,8,6.5,5.92,-1,3.75,6.5,7.5,-1,-1,-1,8
2000019,2002,8.2,4.5,-1,7.33,-1,-1,-1,7.75,6,8.25,7.2
2000020,2002,8.4,6.25,-1,5.75,-1,-1,-1,5.25,6.75,5.25,7.4
2000021,2002,7.4,6.25,-1,6.67,-1,-1,-1,5.5,6,8.5,7
2000022,2002,8.8,6,-1,5.92,-1,-1,-1,5.75,8,4,6.4
2000023,2002,7.4,6.5,-1,5.58,-1,-1,-1,5,5.75,6,4.8
2000024,2002,7.2,8,-1,5.75,-1,-1,-1,6.25,7.75,3.25,5.4
2000025,2002,8.4,8,6.83,-1,5.75,7.25,7.5,-1,-1,-1,8.4
2000026,2002,8.2,7,6.92,-1,6.25,7,7.5,-1,-1,-1,6.6
2000027,2002,7.6,7,-1,6.58,-1,-1,-1,5,6.25,8.5,6.4
2000028,2002,7.6,7,-1,6,-1,-1,-1,5.25,5.5,7.25,6.6
2000029,2002,7.8,5.25,-1,7.67,-1,-1,-1,7.5,7.25,8.25,7
2000030,2002,8.2,7.5,-1,7.92,-1,-1,-1,7.5,7.75,8.5,-1
2000031,2002,7.8,7.5,6.17,-1,5.25,5,8.25,-1,-1,-1,6.8
2000032,2002,7.8,8,6.92,-1,5,7.75,8,-1,-1,-1,7.6
2000033,2002,8.4,7.25,7.33,-1,7,7,8,-1,-1,-1,7
2000034,2002,7.8,6.5,-1,5.92,-1,-1,-1,3,7.5,7.25,-1
2000035,2002,6.8,5.5,6.08,-1,4,7,7.25,-1,-1,-1,5
2000036,2002,7.6,6,-1,7.17,-1,-1,-1,6.75,7.5,7.25,7.4
2000037,2002,7.2,5.5,6.08,-1,5,5.5,7.75,-1,-1,-1,5
2000038,2002,7.8,7,7.42,-1,7.25,7.5,7.5,-1,-1,-1,6.8
2000039,2002,7.2,7,6.08,-1,4,6.5,7.75,-1,-1,-1,5.2
2000040,2002,8.2,6.75,-1,6.75,-1,-1,-1,4.75,8.25,7.25,5.2
2000041,2002,6.8,6.75,-1,6.67,-1,-1,-1,5.75,7.25,7,7.4
2000042,2002,8.2,7,-1,5,-1,-1,-1,3,7.25,4.75,8.2
2000043,2002,7.4,7.25,-1,5.83,-1,-1,-1,3.25,7.25,7,6.8
2000044,2002,8.2,6.5,-1,5.75,-1,-1,-1,5.75,4.75,6.75,5.4
2000045,2002,7.6,6.25,-1,5.25,-1,-1,-1,4.75,6.5,4.5,8
2000046,2002,8.2,6.75,-1,5.67,-1,-1,-1,4.5,6.5,6,4.2
2000047,2002,8.6,6.75,-1,6.33,-1,-1,-1,5.25,7.5,6.25,6
2000048,2002,6.6,7,5.33,-1,4.5,4.75,6.75,-1,-1,-1,6.2
2000049,2002,7.8,8.25,7.42,-1,6.25,6.75,9.25,-1,-1,-1,-1
2000050,2002,8,7.75,-1,5.67,-1,-1,-1,2.75,8.25,6,7.4
2000051,2002,7.6,7.25,5.58,-1,3.75,6,7,-1,-1,-1,7.4
2000052,2002,8.6,7.25,-1,6.75,-1,-1,-1,5.75,8,6.5,8.8
2000053,2002,6.8,6.75,7.83,-1,6.75,7.25,9.5,-1,-1,-1,8.4
2000054,2002,9.2,6.5,-1,6.75,-1,-1,-1,6.25,8,6,7
2000055,2002,8.8,7.25,-1,6.33,-1,-1,-1,4.75,6.75,7.5,8.6
2000056,2002,8.6,7.25,-1,6.33,-1,-1,-1,4.75,8,6.25,6.6
2000057,2002,7,6.5,6.83,-1,6.5,6,8,-1,-1,-1,6.2
2000058,2002,8.2,6.75,-1,6.5,-1,-1,-1,3.75,8.25,7.5,6
2000059,2002,8.4,7.5,7.92,-1,7.75,7,9,-1,-1,-1,8.2
2000060,2002,6.6,4.25,-1,6,-1,-1,-1,6.5,5,6.5,7.4
2000061,2002,5.2,6.75,4.83,-1,2.75,5.5,6.25,-1,-1,-1,4
2000062,2002,6.6,7.25,-1,6.25,-1,-1,-1,6,6,6.75,4.6
2000063,2002,6.2,7,6.5,-1,5.25,6.5,7.75,-1,-1,-1,7
2000064,2002,8.2,7.75,-1,6.42,-1,-1,-1,5.75,7.5,6,7.8
2000065,2002,7.8,8.25,-1,5.58,-1,-1,-1,5,5.25,6.5,8.2
2000066,2002,7,7,-1,7.08,-1,-1,-1,6,7.75,7.5,6.2
2000067,2002,7,5.5,-1,7.17,-1,-1,-1,7.25,7.75,6.5,7.2
2000068,2002,8.4,6.5,-1,5.67,-1,-1,-1,3.75,7.25,6,9.6
2000069,2002,7.6,8,-1,6.25,-1,-1,-1,5.75,5.5,7.5,5.8
2000070,2002,7,6,6.5,-1,4.5,6.5,8.5,-1,-1,-1,5.6
2000071,2002,6.2,6.25,-1,5.08,-1,-1,-1,3.75,6.5,5,7.4
2000072,2002,8.4,7.75,-1,7.17,-1,-1,-1,5.5,8,8,7.8
2000073,2002,9,8.5,-1,7.33,-1,-1,-1,7.75,7.5,6.75,6.4
2000074,2002,8.6,8,-1,6.92,-1,-1,-1,6.75,5.75,8.25,7.2
2000075,2002,7.6,8,-1,6.83,-1,-1,-1,5.5,7.25,7.75,6.4
2000076,2002,8.2,8.5,7.92,-1,7.25,7.5,9,-1,-1,-1,8.2
2000077,2002,7.2,7.5,-1,6.33,-1,-1,-1,5.5,6.75,6.75,5.8
2000078,2002,7.8,7,7.5,-1,5.75,8.25,8.5,-1,-1,-1,7
2000079,2002,7.4,7.5,7.17,-1,6.25,6.5,8.75,-1,-1,-1,7
2000080,2002,5.2,5.5,5.75,-1,3.75,6,7.5,-1,-1,-1,5.8
2000081,2002,8.6,5.5,-1,6.5,-1,-1,-1,7.25,6.75,5.5,8.4
2000082,2002,8.4,6.5,-1,5.75,-1,-1,-1,4.25,7,6,7.2
2000083,2002,7.6,7,-1,5.33,-1,-1,-1,5.5,4.75,5.75,7.2
2000084,2002,7.6,5.5,-1,6.58,-1,-1,-1,6.5,7.5,5.75,9.2
